system,scenario_id,seed,expected_root_cause,predicted_root_cause,diagnosis_status,evidence_precision,evidence_recall,remediation_correct,policy_safe,tool_calls,diagnosis_time_ms,trace_id,total_time_ms,model_calls,tool_retries,model_retries,confidence,input_tokens,output_tokens,estimated_cost_usd,human_intervention,root_cause_correct
ablation_no_subagents,cpu_throttling_002,10103,cpu_throttling,dependency_regression,supported,0.2,0.6666666666666666,False,True,9,129.76,c93277301db08c2e0ae5255a68753cec,463.6278999969363,2,0,0,0.679,4421,170,0.0,True,False
baseline_direct,memory_leak_001,10203,memory_leak,slow_query_lock,supported,0.0,0.0,False,True,0,0.06049999501556158,1b465526ad5674d01eb1c0378d532264,0.06049999501556158,0,0,0,0.5,0,0,0.0,False,False
baseline_react,memory_leak_001,10203,memory_leak,undetermined,insufficient_evidence,0.25,1.0,False,True,5,359.5133000635542,217c2a84a0cd847349a78ed2d7db425a,441.06310000643134,0,0,0,0.49,0,0,0.0,False,False
baseline_graph,memory_leak_001,10203,memory_leak,undetermined,insufficient_evidence,0.1875,1.0,False,True,9,110.358,06783cb66a9411827eb777cce9c9826e,452.5753000052646,1,0,0,0.49,11622,106,0.0,False,False
sentinel_full,memory_leak_001,10203,memory_leak,memory_leak,supported,0.17647058823529413,1.0,True,True,9,132.726,94684c5afd3267175243d1d0b678112e,425.8620999753475,2,0,0,0.6954999999999999,4423,180,0.0,True,True
ablation_no_verifier,memory_leak_001,10203,memory_leak,memory_leak,supported,0.17647058823529413,1.0,True,True,9,152.60399999999998,7854ff2e2e1f2df40a3912bebeb6ddc6,447.3658000351861,1,0,0,0.6954999999999999,2321,141,0.0,True,True
ablation_no_deep_learning,memory_leak_001,10203,memory_leak,undetermined,insufficient_evidence,0.1875,1.0,False,True,9,119.515,15b07ea2423e5024e2fc7b5bf2a672cd,449.0761000197381,2,0,0,0.49,3277,149,0.0,False,False
ablation_no_retrieval,memory_leak_001,10203,memory_leak,memory_leak,supported,0.17647058823529413,1.0,True,True,9,105.166,dd71da18d6fce59b0c2e413a8471a447,414.57060002721846,2,0,0,0.6954999999999999,4423,180,0.0,True,True
ablation_no_context_engineering,memory_leak_001,10203,memory_leak,memory_leak,supported,0.17647058823529413,1.0,True,True,9,135.619,9851ab4ce79b1c05634b4bb71bf129e5,488.132200029213,2,0,0,0.6954999999999999,24149,180,0.0,True,True
ablation_no_subagents,memory_leak_001,10203,memory_leak,memory_leak,supported,0.17647058823529413,1.0,True,True,9,126.95600000000002,0cea2dda255a0de51d24a814e304fb99,446.7737000086345,2,0,0,0.6954999999999999,4423,180,0.0,True,True
baseline_direct,memory_leak_002,10204,memory_leak,slow_query_lock,supported,0.0,0.0,False,True,0,0.06410002242773771,3986b86e5c6f3bedf9976f10d8a5c89e,0.06410002242773771,0,0,0,0.5,0,0,0.0,False,False
baseline_react,memory_leak_002,10204,memory_leak,undetermined,insufficient_evidence,0.25,1.0,False,True,5,356.4228999312036,2f0ef5cd4139aa4d6462d0e9c7a10534,423.04750002222136,0,0,0,0.49,0,0,0.0,False,False
baseline_graph,memory_leak_002,10204,memory_leak,undetermined,insufficient_evidence,0.1875,1.0,False,True,9,125.15499999999999,ad9bc73dbd6574a46da17ed0cf75f0ab,385.24939998751506,1,0,0,0.49,11620,106,0.0,False,False
sentinel_full,memory_leak_002,10204,memory_leak,memory_leak,supported,0.16666666666666666,1.0,True,True,9,116.828,3ccc37366cd744b13f6ae6e9ac85c8d0,452.1670999820344,2,0,0,0.98,5136,183,0.0,True,True
ablation_no_verifier,memory_leak_002,10204,memory_leak,memory_leak,supported,0.16666666666666666,1.0,True,True,9,124.116,8ee839b42eb58b29c4942df7671b64aa,427.2752999677323,1,0,0,0.98,2683,144,0.0,True,True
ablation_no_deep_learning,memory_leak_002,10204,memory_leak,memory_leak,supported,0.1875,1.0,True,True,9,158.116,d330026df4a7f4966fe68e349a337fd6,491.21959996409714,2,0,0,0.9757999999999999,3982,175,0.0,True,True
ablation_no_retrieval,memory_leak_002,10204,memory_leak,memory_leak,supported,0.17647058823529413,1.0,True,True,9,103.38799999999999,fd78ecd69036ae91d901abc4d99f8f2e,406.59369999775663,2,0,0,0.6954999999999999,4423,180,0.0,True,True
ablation_no_context_engineering,memory_leak_002,10204,memory_leak,memory_leak,supported,0.16666666666666666,1.0,True,True,9,129.441,73996fb1665d14afae05ce69d4d89d6b,503.75350000103936,2,0,0,0.98,25144,183,0.0,True,True
ablation_no_subagents,memory_leak_002,10204,memory_leak,memory_leak,supported,0.16666666666666666,1.0,True,True,9,133.20000000000002,c69ba0fda72263d7faf9a5a243fbc7b3,569.5805000141263,2,0,0,0.98,5136,183,0.0,True,True
baseline_direct,disk_pressure_001,10304,disk_pressure,slow_query_lock,supported,0.0,0.0,False,True,0,0.06819999543949962,56697c3efbb48cd3ed1cf3f5df2c56f5,0.06819999543949962,0,0,0,0.5,0,0,0.0,False,False
baseline_react,disk_pressure_001,10304,disk_pressure,undetermined,insufficient_evidence,0.23076923076923078,1.0,False,True,5,379.9596999306232,387c5ef92d3cef641fde68597f9c256e,449.35839995741844,0,0,0,0.49,0,0,0.0,False,False
baseline_graph,disk_pressure_001,10304,disk_pressure,dependency_regression,supported,0.2857142857142857,0.6666666666666666,False,True,9,117.588,0733d38fed7b821ebfd2fc38eb0d9054,395.34260000800714,1,0,0,0.6200000000000001,11630,122,0.0,True,False
sentinel_full,disk_pressure_001,10304,disk_pressure,disk_pressure,supported,0.42857142857142855,1.0,True,True,9,121.142,4807becb1c8b4ec2ea374291838f3913,443.67279997095466,2,0,0,0.8766,5093,153,0.0,True,True
ablation_no_verifier,disk_pressure_001,10304,disk_pressure,disk_pressure,supported,0.42857142857142855,1.0,True,True,9,125.07499999999999,5a6b3bcd6d93b096d9547420e4c1e26a,439.22960001509637,1,0,0,0.8766,2670,114,0.0,True,True
ablation_no_deep_learning,disk_pressure_001,10304,disk_pressure,disk_pressure,supported,0.5,1.0,True,True,9,120.726,34b86e8d4992e62608985b06ec45a19b,420.9609000245109,2,0,0,0.7506,3961,147,0.0,True,True
ablation_no_retrieval,disk_pressure_001,10304,disk_pressure,dependency_regression,supported,0.18181818181818182,0.6666666666666666,False,True,9,108.24000000000001,76b43518be69c806869c1844fda077ca,401.6494000097737,2,0,0,0.6925,4408,170,0.0,True,False
ablation_no_context_engineering,disk_pressure_001,10304,disk_pressure,disk_pressure,supported,0.42857142857142855,1.0,True,True,9,120.40299999999999,6ea274c594eec00c5910f77f79e0c0be,477.64769999776036,2,0,0,0.8766,25133,153,0.0,True,True
ablation_no_subagents,disk_pressure_001,10304,disk_pressure,disk_pressure,supported,0.42857142857142855,1.0,True,True,9,119.26100000000001,89b95305b42bd5851a12b3d5494e89ec,412.7487000077963,2,0,0,0.8766,5093,153,0.0,True,True
baseline_direct,disk_pressure_002,10305,disk_pressure,slow_query_lock,supported,0.0,0.0,False,True,0,0.05720002809539437,8bd6aadb777d8a834614400938fd96a8,0.05720002809539437,0,0,0,0.5,0,0,0.0,False,False
baseline_react,disk_pressure_002,10305,disk_pressure,undetermined,insufficient_evidence,0.23076923076923078,1.0,False,True,5,374.18260000413284,630f8fa599fb2580b2f25013974c0e10,451.27830002456903,0,0,0,0.49,0,0,0.0,False,False
baseline_graph,disk_pressure_002,10305,disk_pressure,dependency_regression,supported,0.2857142857142857,0.6666666666666666,False,True,9,120.862,fb55f5ebd174d0efe5cd9bba9a5875df,385.86670003132895,1,0,0,0.6200000000000001,11625,122,0.0,True,False
sentinel_full,disk_pressure_002,10305,disk_pressure,disk_pressure,supported,0.42857142857142855,1.0,True,True,9,136.597,09bc48f712ed8a4c004426c08eeddadd,445.1332000317052,2,0,0,0.8766,5092,153,0.0,True,True
ablation_no_verifier,disk_pressure_002,10305,disk_pressure,disk_pressure,supported,0.42857142857142855,1.0,True,True,9,113.482,1507f25c17eb66530cce70c5cd83cbbc,416.4664000272751,1,0,0,0.8766,2669,114,0.0,True,True
ablation_no_deep_learning,disk_pressure_002,10305,disk_pressure,disk_pressure,supported,0.5,1.0,True,True,9,142.792,191b0da088cb1ed05a910fa35adb6935,473.4751000069082,2,0,0,0.7506,3961,147,0.0,True,True
ablation_no_retrieval,disk_pressure_002,10305,disk_pressure,dependency_regression,supported,0.15384615384615385,0.6666666666666666,False,True,9,106.90299999999999,11575f30002adff1c32b0214af768070,421.856899978593,2,0,0,0.6925,4406,170,0.0,True,False
ablation_no_context_engineering,disk_pressure_002,10305,disk_pressure,disk_pressure,supported,0.42857142857142855,1.0,True,True,9,160.40699999999998,fc508cb67f531bf6c30d0a6be6dd76de,488.0204999935813,2,0,0,0.8766,25123,153,0.0,True,True
ablation_no_subagents,disk_pressure_002,10305,disk_pressure,disk_pressure,supported,0.42857142857142855,1.0,True,True,9,169.21800000000002,c27622b6238cd824eae0281a30769715,471.65070002665743,2,0,0,0.8766,5092,153,0.0,True,True
baseline_direct,bad_readiness_probe_001,10405,bad_readiness_probe,bad_readiness_probe,supported,0.0,0.0,True,True,0,0.07589999586343765,fa7733d8d1c12eb056e3dd03248bdf47,0.07589999586343765,0,0,0,0.5,0,0,0.0,False,True
baseline_react,bad_readiness_probe_001,10405,bad_readiness_probe,bad_readiness_probe,supported,0.4,0.6666666666666666,True,True,5,402.02760009560734,ec18e0465d8a8bcf0942d2d3f1f8e785,619.4268999970518,0,0,0,0.6300000000000001,0,0,0.0,False,True
baseline_graph,bad_readiness_probe_001,10405,bad_readiness_probe,bad_readiness_probe,supported,0.2857142857142857,0.6666666666666666,True,True,11,109.38000000000001,0b9aad97f83919e2a4bb930a1446a15c,379.56909998320043,1,0,0,0.71,11692,134,0.0,True,True
sentinel_full,bad_readiness_probe_001,10405,bad_readiness_probe,bad_readiness_probe,supported,0.2,0.6666666666666666,True,True,11,143.727,27694c58135c3493c288878fcb0f1d0c,511.34309999179095,2,0,0,0.98,5282,184,0.0,True,True
ablation_no_verifier,bad_readiness_probe_001,10405,bad_readiness_probe,bad_readiness_probe,supported,0.2,0.6666666666666666,True,True,11,146.38000000000002,fe9bac108fc37698ac243a31ab55ac7d,494.14429999887943,1,0,0,0.98,2774,145,0.0,True,True
ablation_no_deep_learning,bad_readiness_probe_001,10405,bad_readiness_probe,bad_readiness_probe,supported,0.2222222222222222,0.6666666666666666,True,True,11,115.511,24bcd4637abe7447680e640f5a79c9cf,483.8869000086561,2,0,0,0.98,4156,179,0.0,True,True
ablation_no_retrieval,bad_readiness_probe_001,10405,bad_readiness_probe,bad_readiness_probe,supported,0.25,0.6666666666666666,True,True,11,108.288,da1a464b9da0e5807d658281d9643678,447.78709998354316,2,0,0,0.8255,4557,179,0.0,True,True
ablation_no_context_engineering,bad_readiness_probe_001,10405,bad_readiness_probe,bad_readiness_probe,supported,0.2,0.6666666666666666,True,True,11,111.144,bdba6a4b99476e92eb2ba3102ef0feee,442.0131000224501,2,0,0,0.98,25332,184,0.0,True,True
ablation_no_subagents,bad_readiness_probe_001,10405,bad_readiness_probe,bad_readiness_probe,supported,0.2,0.6666666666666666,True,True,11,107.997,16797c95cc8e601e0969f13feb7a451a,430.4374999483116,2,0,0,0.98,5282,184,0.0,True,True
baseline_direct,bad_readiness_probe_002,10406,bad_readiness_probe,bad_readiness_probe,supported,0.0,0.0,True,True,0,0.08680002065375447,e51e83bdd9f1f109d5d5775f30e96137,0.08680002065375447,0,0,0,0.5,0,0,0.0,False,True
baseline_react,bad_readiness_probe_002,10406,bad_readiness_probe,bad_readiness_probe,supported,0.4,0.6666666666666666,True,True,5,455.3538000327535,139635fff0644662a9b4edb544b5d65e,533.6022999836132,0,0,0,0.6300000000000001,0,0,0.0,False,True
baseline_graph,bad_readiness_probe_002,10406,bad_readiness_probe,bad_readiness_probe,supported,0.2857142857142857,0.6666666666666666,True,True,11,108.758,eb51d96efa0a885deee97ffa4d6f84b6,407.88319997955114,1,0,0,0.71,11685,134,0.0,True,True
sentinel_full,bad_readiness_probe_002,10406,bad_readiness_probe,bad_readiness_probe,supported,0.25,0.6666666666666666,True,True,11,112.661,14f73bce6c63bad137de226567c13685,452.3907999973744,2,0,0,0.8255,4555,179,0.0,True,True
ablation_no_verifier,bad_readiness_probe_002,10406,bad_readiness_probe,bad_readiness_probe,supported,0.25,0.6666666666666666,True,True,11,158.31300000000002,5d01df20134cf145b43a9f7ce4fa4be0,458.4649999742396,1,0,0,0.8255,2401,140,0.0,True,True
ablation_no_deep_learning,bad_readiness_probe_002,10406,bad_readiness_probe,bad_readiness_probe,supported,0.2857142857142857,0.6666666666666666,True,True,11,126.88499999999999,4fbea36fb6fbfb916537f7b58355f2c2,420.5027999705635,2,0,0,0.71,3416,173,0.0,True,True
ablation_no_retrieval,bad_readiness_probe_002,10406,bad_readiness_probe,bad_readiness_probe,supported,0.25,0.6666666666666666,True,True,11,101.889,b8a591cd092b1827435f07d338dcf58f,435.7054000138305,2,0,0,0.8255,4555,179,0.0,True,True
ablation_no_context_engineering,bad_readiness_probe_002,10406,bad_readiness_probe,bad_readiness_probe,supported,0.25,0.6666666666666666,True,True,11,105.46600000000001,f73d1a9143c5dab6ed2b580ce5e657f3,424.8645000043325,2,0,0,0.8255,24282,179,0.0,True,True
ablation_no_subagents,bad_readiness_probe_002,10406,bad_readiness_probe,bad_readiness_probe,supported,0.25,0.6666666666666666,True,True,11,102.98,61e54cec8430e1926ad4f9681a4b1176,456.48990001063794,2,0,0,0.8255,4555,179,0.0,True,True
baseline_direct,bad_configmap_001,10506,bad_configmap,slow_query_lock,supported,0.0,0.0,False,True,0,0.054800009820610285,6b8db5841870a84dfd4ec0ad9254d7b0,0.054800009820610285,0,0,0,0.5,0,0,0.0,False,False
baseline_react,bad_configmap_001,10506,bad_configmap,undetermined,insufficient_evidence,0.25,1.0,False,True,5,391.6010999819264,5c6d662e05310d2a4b4f9fd1a28d47fa,468.76049996353686,0,0,0,0.49,0,0,0.0,False,False
baseline_graph,bad_configmap_001,10506,bad_configmap,undetermined,insufficient_evidence,0.1875,1.0,False,True,11,104.95,d344aea867e79c6b7bd6b7378b398025,551.7317000194453,1,0,0,0.49,11671,106,0.0,False,False
sentinel_full,bad_configmap_001,10506,bad_configmap,undetermined,insufficient_evidence,0.17647058823529413,1.0,False,True,11,112.095,2c6f7912184eca997797c385964ede41,454.35959997121245,2,0,0,0.49,4540,149,0.0,False,False
ablation_no_verifier,bad_configmap_001,10506,bad_configmap,undetermined,insufficient_evidence,0.17647058823529413,1.0,False,True,11,132.992,fd83e00a4f32c11fb620e63518291c85,431.2437999760732,1,0,0,0.49,2407,106,0.0,False,False
ablation_no_deep_learning,bad_configmap_001,10506,bad_configmap,undetermined,insufficient_evidence,0.1875,1.0,False,True,11,110.426,971b89891f17d43a91e8514cc91566a0,444.498700031545,2,0,0,0.49,3410,149,0.0,False,False
ablation_no_retrieval,bad_configmap_001,10506,bad_configmap,undetermined,insufficient_evidence,0.17647058823529413,1.0,False,True,11,95.72999999999999,c51a79d03a5a49328412827ddbc7340b,434.7680000355467,2,0,0,0.49,4540,149,0.0,False,False
ablation_no_context_engineering,bad_configmap_001,10506,bad_configmap,undetermined,insufficient_evidence,0.17647058823529413,1.0,False,True,11,135.72799999999998,a18358e2d27e6b5b50d239125ef3fcce,524.4023999548517,2,0,0,0.49,24228,149,0.0,False,False
ablation_no_subagents,bad_configmap_001,10506,bad_configmap,undetermined,insufficient_evidence,0.17647058823529413,1.0,False,True,11,138.56799999999998,b8e0e9c5e4593b7de44efd9e6ec9523a,472.50010003335774,2,0,0,0.49,4540,149,0.0,False,False
baseline_direct,bad_configmap_002,10507,bad_configmap,slow_query_lock,supported,0.0,0.0,False,True,0,0.0591999851167202,9f63c73c735a41ea9d5d81abc058ff10,0.0591999851167202,0,0,0,0.5,0,0,0.0,False,False
baseline_react,bad_configmap_002,10507,bad_configmap,undetermined,insufficient_evidence,0.25,1.0,False,True,5,369.4017000379972,ef965dcb9ce18ac027e398110dd1337a,437.9410000401549,0,0,0,0.49,0,0,0.0,False,False
baseline_graph,bad_configmap_002,10507,bad_configmap,undetermined,insufficient_evidence,0.1875,1.0,False,True,11,107.752,5ed11c2453dc035925be0e9bded65faa,395.13359998818487,1,0,0,0.49,11677,106,0.0,False,False
sentinel_full,bad_configmap_002,10507,bad_configmap,bad_configmap,supported,0.3333333333333333,1.0,True,True,11,138.49800000000002,8e628e8584594f022110b647433a415f,522.4066999508068,2,0,0,0.9272,5275,172,0.0,True,True
ablation_no_verifier,bad_configmap_002,10507,bad_configmap,bad_configmap,supported,0.3333333333333333,1.0,True,True,11,110.023,94ba0e9437f24e4967443ec557f6df8f,435.0840999977663,1,0,0,0.9272,2766,133,0.0,True,True
ablation_no_deep_learning,bad_configmap_002,10507,bad_configmap,bad_configmap,supported,0.375,1.0,True,True,11,117.33300000000001,e4b04fe4e1e8c49f970e5bef983c0bad,438.5079000494443,2,0,0,0.8642,4160,166,0.0,True,True
ablation_no_retrieval,bad_configmap_002,10507,bad_configmap,undetermined,insufficient_evidence,0.17647058823529413,1.0,False,True,11,148.665,d552ec27dc177e1ebf93db58b57d92ee,476.2753999675624,2,0,0,0.49,4542,149,0.0,False,False
ablation_no_context_engineering,bad_configmap_002,10507,bad_configmap,bad_configmap,supported,0.3333333333333333,1.0,True,True,11,130.31599999999997,29042ebab0f961a9acf1bacf76040c78,487.8527999971993,2,0,0,0.9272,25276,172,0.0,True,True
ablation_no_subagents,bad_configmap_002,10507,bad_configmap,bad_configmap,supported,0.3333333333333333,1.0,True,True,11,120.167,62ae9302cbe7e3421ea0ca9d0751f20a,476.774699985981,2,0,0,0.9272,5275,172,0.0,True,True
baseline_direct,missing_secret_001,10607,missing_secret,missing_secret,supported,0.0,0.0,True,True,0,0.059699988923966885,d1372e62717c2616ab2c0f968b1f50fa,0.059699988923966885,0,0,0,0.5,0,0,0.0,False,True
baseline_react,missing_secret_001,10607,missing_secret,missing_secret,supported,0.6666666666666666,0.6666666666666666,True,True,3,200.46680001541972,21628b174c7511b3e2b3806d0ac5129c,253.51519999094307,0,0,0,0.6300000000000001,0,0,0.0,False,True
baseline_graph,missing_secret_001,10607,missing_secret,missing_secret,supported,0.42857142857142855,1.0,True,True,11,94.785,af9bc132ba7a6934dd2cca319a1f8dae,381.2276999815367,1,0,0,0.655,11707,123,0.0,True,True
sentinel_full,missing_secret_001,10607,missing_secret,missing_secret,supported,0.375,1.0,True,True,11,121.909,d72e03bdc1a976d9f123568224d28f29,508.66960000712425,2,0,0,0.98,5244,173,0.0,True,True
ablation_no_verifier,missing_secret_001,10607,missing_secret,missing_secret,supported,0.375,1.0,True,True,11,129.851,14977ed12cacc708d056e55b509bfb15,632.999999972526,1,0,0,0.98,2740,134,0.0,True,True
ablation_no_deep_learning,missing_secret_001,10607,missing_secret,missing_secret,supported,0.42857142857142855,1.0,True,True,11,117.715,db294ba801ff080baf4e83c372b91eda,466.0907000070438,2,0,0,0.98,4116,167,0.0,True,True
ablation_no_retrieval,missing_secret_001,10607,missing_secret,missing_secret,supported,0.375,1.0,True,True,11,96.301,4cf4b33357247144d199eab2dff8fc3f,426.1440000263974,2,0,0,0.8815,4556,168,0.0,True,True
ablation_no_context_engineering,missing_secret_001,10607,missing_secret,missing_secret,supported,0.375,1.0,True,True,11,104.122,f38d667b17a963e12b2efb2d175385d0,476.5086999977939,2,0,0,0.98,25299,173,0.0,True,True
